Latitude_deg,Longitude_deg,Altitude_m
0.0,5.770417881402001,98155.26629056572
0.0,5.810852631860815,98118.26090449654
0.0,5.851215500121361,98080.78533402598
0.0,5.8915064878196,98042.83723284467
0.0,5.93172559649466,98004.41426790645
0.0,5.971872827587645,97965.5141194507
0.0,6.011948182440475,97926.13448102004
0.0,6.051951662294695,97886.27305948315
0.0,6.091883268290341,97845.92757505341
0.0,6.131743001464761,97805.09576130984
0.0,6.171530862751481,97763.77536521875
0.0,6.211246852979059,97721.96414715308
0.0,6.250890972869952,97679.65988091636
0.0,6.290463223039387,97636.86035376135
0.0,6.329963603994245,97593.56336641335
0.0,6.369392116131944,97549.76673309226
0.0,6.408748759739331,97505.46828153357
0.0,6.4480335349915885,97460.66585301142
0.0,6.487246441951133,97415.35730236163
0.0,6.526387480566539,97369.54049800313
0.0,6.565456650671455,97323.21332196309
0.0,6.604453951983536,97276.37366989767
0.0,6.643379384103371,97229.01945111784
0.0,6.682232946513444,97181.14858861058
0.0,6.721014638577059,97132.75901906635
0.0,6.7597244595373205,97083.84869289934
0.0,6.798362408516088,97034.41557427426
0.0,6.836928484512948,96984.45764113078
0.0,6.8754226864041925,96933.97288520797
0.0,6.913845012941813,96882.959312069
0.0,6.952195462752484,96831.41494112834
0.0,6.9904740343365805,96779.33780567418
0.0,7.028680726067168,96726.72595289815
0.0,7.066815536189029,96673.57744391845
0.0,7.104878462817696,96619.89035380678
0.0,7.142869503938466,96565.66277161613
0.0,7.180788657405447,96510.89280040748
0.0,7.218635920940611,96455.578557275
0.0,7.256411292132846,96399.71817337559
0.0,7.294114768437015,96343.30979395495
0.0,7.331746347173023,96286.35157837742
0.0,7.369306025524907,96228.84170015156
0.0,7.406793800539917,96170.77834696067
0.0,7.444209669127605,96112.15972069022
0.0,7.481553628058927,96052.98403745843
0.0,7.518825673965369,95993.24952764227
0.0,7.556025803338041,95932.95443591056
0.0,7.593154012526826,95872.09702125099
0.0,7.630210297739495,95810.67555700196
0.0,7.667194655040862,95748.6883308827
0.0,7.704107080351931,95686.13364502182
0.0,7.740947569449056,95623.00981599069
0.0,7.7777161179631085,95559.31517483294
0.0,7.814412721378648,95495.04806709732
0.0,7.851037375033118,95430.20685286704
0.0,7.887590074116032,95364.78990679467
0.0,7.924070813668166,95298.79561813176
0.0,7.960479588580785,95232.22239076393
0.0,7.996816393594856,95165.06864324026
0.0,8.03308122330027,95097.33280881122
0.0,8.06927407213508,95029.0133354566
0.0,8.105394934384757,94960.10868592351
0.0,8.141443804181426,94890.61733775912
0.0,8.177420675503143,94820.53778334381
0.0,8.213325542173163,94749.86852992768
0.0,8.24915839785922,94678.60809966363
0.0,8.284919236072815,94606.75502964342
0.0,8.320608050168524,94534.30787193472
0.0,8.356224833343298,94461.26519361301
0.0,8.391769578635788,94387.62557680253
0.0,8.427242278925663,94313.38761870842
0.0,8.462642926932956,94238.54993165727
0.0,8.497971515217415,94163.11114313081
0.0,8.533228036177842,94087.06989580533
0.0,8.568412482051476,94010.4248475898
0.0,8.60352484491336,93933.17467166227
0.0,8.638565116675728,93855.31805650843
0.0,8.673533289087406,93776.85370596219
0.0,8.708429353733212,93697.78033924219
0.0,8.743253302033366,93618.09669099306
0.0,8.778005125242933,93537.80151132424
0.0,8.812684814451245,93456.8935658487
0.0,8.847292360581347,93375.37163572735
0.0,8.881827754389462,93293.23451770423
0.0,8.916290986464457,93210.4810241519
0.0,8.950682047227314,93127.1099831101
0.0,8.985000926930619,93043.12023832975
0.0,9.019247615658083,92958.51064931182
0.0,9.05342210332401,92873.28009135346
0.0,9.087524379672859,92787.42745558708
0.0,9.121554434278755,92700.95164902578
0.0,9.155512256545032,92613.85159460688
0.0,9.1893978357038,92526.12623123289
0.0,9.223211160815495,92437.77451381949
0.0,9.256952220768472,92348.79541333625
0.0,9.290621004278572,92259.18791685463
0.0,9.324217499888746,92168.95102759078
0.0,9.357741695968656,92078.08376495261
0.0,9.391193580714289,91986.58516458515
0.0,9.424573142147608,91894.4542784153
0.0,9.457880368116198,91801.69017470139
0.0,9.491115246292908,91708.29193807812
0.0,9.524277764175547,91614.25866960431
0.0,9.557367909086555,91519.58948681015
