Latitude_deg,Longitude_deg,Altitude_m,Time,X_Inertial,Y_Inertial,Z_Inertial,VX_Inertial,VY_Inertial,VZ_Inertial,Altitude_m,X_Accel,Y_Accel,Z_Accel,Thrust_Mag,Thrust_Dir_x,Thrust_Dir_Y,Thrust_Dir_Z,Thrust_Mag_N,Thrust_Dir_x_N,Thrust_Dir_Y_N,Thrust_Dir_Z_N,Phase
0.005635798471267685,15.728721755414691,49349.033180788625,481.0,1719224.4308251531,486558.7663768898,175.75042244083696,-352.33869657872333,398.7395444713585,1.6493730619634106,49579.537733901525,0.3744234380807856,-2.521431566543709,-0.135694871680827,5563.6787498661615,0.6602057994509697,-0.7510773159245067,-0.0033412769055762297,5612.487475420096,0.6601270473419523,-0.7495981271387562,-0.048301301180095096,1.0
0.005687631445616745,15.74387319112605,49118.38963562786,482.0,1718872.4971757138,486955.0939340683,177.34392028048202,-351.9336494393323,396.32755717848596,1.5934978396450798,49349.03318078886,0.4050471393909958,-2.4119872928725385,-0.0558752223183307,5568.394711963497,0.6621568522961149,-0.749358853333186,-0.0030996983458718057,5486.226340886246,0.6865813125340865,-0.7267677402882854,-0.02031418135194849,1.0
0.005747332358795428,15.758948986522496,48887.65927404817,483.0,1718521.0343164515,487348.97576621635,179.18228770588075,-351.46285926224755,393.88183214807646,1.8383674253987272,49118.38963562809,0.47079017708479265,-2.4457250304095,0.24486958575364728,5572.829842197644,0.6639839557993006,-0.7477407733727044,-0.0030064104435900824,5645.610636753476,0.6905836428911377,-0.7180236258247499,0.08680093428575146,1.0
0.005803598503843009,15.773945961409272,48656.81582987355,484.0,1718170.0457202021,487740.31064967276,180.9130922817258,-350.98859624948375,391.33488345643025,1.7308045758450288,48887.659274048405,0.47426301276377236,-2.546948691646217,-0.10756284955369846,5577.2065313842595,0.6657826040590249,-0.7461376500764575,-0.003482453463983188,5780.236103161552,0.675794747479933,-0.7361509947093479,-0.037164106562220085,1.0
0.005857927627592743,15.788869595234543,48425.6284164004,485.0,1717819.264301589,488129.2011000925,182.58303416833172,-350.7814186131454,388.89045041973213,1.6699418866059235,48656.81582987378,0.20717763633839215,-2.444433036698101,-0.060862689239105316,5581.831036177203,0.6676854760599596,-0.7444362032028833,-0.0032925089006835342,5271.107672380771,0.6398323317972106,-0.7681679916820814,-0.023033847493838154,1.0
0.005909815094249047,15.803718016179246,48194.36236345675,486.0,1717468.9628512615,488515.66466778953,184.17643648221298,-350.3014503275692,386.46356769706,1.593402313881263,48425.6284164004,0.4799682855761285,-2.4268827226721426,-0.07653957272466042,5586.918297757173,0.6697837711367126,-0.7425493444635435,-0.003188595276261183,5611.076044690088,0.6983956801994794,-0.715192507788235,-0.02722555507456344,1.0
0.005960118148943037,15.818492401794122,47962.75123703666,487.0,1717118.876662348,488899.6649851525,185.7200130155175,-350.08618891357906,384.0003173629254,1.5435765333045182,48194.36236345675,0.21526141399016852,-2.4632503341345955,-0.04982578057674473,5591.3294373194585,0.6715887533355651,-0.740917816345269,-0.0030548291265732816,5309.082362106121,0.6385065251409922,-0.7693875993036854,-0.018710240493331906,1.0
0.006010875967890506,15.833195443316727,47730.900517815026,488.0,1716769.0858042242,489281.31267980806,187.2773265494791,-349.7908581236814,381.64769465558015,1.557313533961615,47962.75123703666,0.29533078989766426,-2.352622707345218,0.0137370006570969,5596.502898325997,0.6737175213193953,-0.738982999593494,-0.0029705100884211666,5246.548268527044,0.6767441597385535,-0.7361978037108232,0.005297604737245601,1.0
0.006060577877343491,15.84782009051949,47498.938367142575,489.0,1716419.7753087685,489660.43281769194,188.80132342940465,-349.3104954558208,379.1201378838658,1.5239968799255459,47730.900517815026,0.48036266786063386,-2.527556771714315,-0.033316654036069294,5601.264053577907,0.6756660819487665,-0.7372016636339218,-0.0030081516123716973,5754.638742678111,0.6813954927664118,-0.7318233331497785,-0.011522940561140562,1.0
0.006112998798394294,15.862374711954965,47266.93643628014,490.0,1716070.9441197526,490037.29705092806,190.40960625695362,-348.83118901593485,376.8642332361281,1.6082828275489853,47498.938367142575,0.47930643988590615,-2.2559046477377316,0.08428594762343938,5605.997300058696,0.6775996613196632,-0.7354250169161092,-0.002956280395589715,5370.251556881233,0.7298772065095385,-0.682852861182612,0.03145059339095793,1.0
0.006162943681908368,15.876853578935718,47034.850174519466,491.0,1715722.5998946202,490411.72282798256,191.9403411195871,-348.34422513228725,374.42577705451487,1.5307348626334698,47266.93643627991,0.4869638836475838,-2.4384561816132035,-0.07754796491551545,5610.150479424687,0.6792818376754436,-0.7338708147885536,-0.0031318223513248644,5635.850231097091,0.6982960591512384,-0.7152806909186018,-0.02746122022864237,1.0
0.006211839497874265,15.891258141973791,46802.62620855146,492.0,1715374.6804445079,490783.7401963718,193.43798824571763,-347.9194501123601,372.0173683892448,1.497647126130559,47034.850174519466,0.42477501992714584,-2.4084086652700942,-0.03308773650291078,5614.73022556817,0.6811440533421823,-0.7321433026824409,-0.0029931627215303855,5504.112414579479,0.6925128517980055,-0.7213049198706217,-0.011962709263220754,1.0
0.006261683153009243,15.905580393560681,46570.297698797425,493.0,1715027.287811658,491153.1198329842,194.96473965909578,-347.39263284966694,369.3796366124002,1.5267514133781483,46802.626208551694,0.5268172626931542,-2.6377317768445887,0.02910428724758931,5619.426054523415,0.6830528212216893,-0.7303630565628868,-0.0029402555515872023,5978.277105045026,0.6718171234491727,-0.7406509176779581,0.009792564972094612,1.0
